Unnamed: 0	ld_carboxypeptidase-unclustered	ld_carboxypeptidase-mmseqs_cluster	ld_carboxypeptidase-foldseek_cluster
6519	A0A935KGX7	A0A2G4J750	A0A844GDF8
6520	A0A8B6X3M2	A0A2G4J750	A0A844GDF8
6521	UPI000A174065	A0A2G4J750	A0A844GDF8
6522	A0A7C4TZM3	A0A2G4J750	A0A844GDF8
6523	A0A7Y3JA89	A0A2G4J750	A0A844GDF8
6524	A0A259QHB8	A0A2G4J750	A0A844GDF8
6525	UPI000374E4BC	A0A2G4J750	A0A844GDF8
6526	UPI0004DFC9E6	A0A2G4J750	A0A844GDF8
6527	UPI00197F9D66	A0A2G4J750	A0A844GDF8
6528	UPI001553933F	A0A2G4J750	A0A844GDF8
6529	A0A3N5FCN6	A0A2G4J750	A0A844GDF8
6530	UPI001E61FCC8	A0A2G4J750	A0A844GDF8
6531	A0A426FR12	A0A2G4J750	A0A844GDF8
6532	A0A930GME9	A0A2G4J750	A0A844GDF8
6533	E7RXE6	A0A2G4J750	A0A844GDF8
6534	A0A930CZT8	A0A2G4J750	A0A844GDF8
6535	A0A0N1B9H7	A0A2G4J750	A0A844GDF8
6536	A0A953KX50	A0A2G4J750	A0A844GDF8
6537	A0A7X7CXA6	A0A2G4J750	A0A844GDF8
6538	A0A7C9TK60	A0A2G4J750	A0A844GDF8
6539	A0A925S294	A0A2G4J750	A0A844GDF8
6540	A0A1W6L9F1	A0A2G4J750	A0A844GDF8
6541	A0A940Y6W0	A0A2G4J750	A0A844GDF8
6542	A0A947E1F3	A0A2G4J750	A0A844GDF8
6543	A0A941BJF0	A0A2G4J750	A0A844GDF8
6544	UPI000B7A5FE2	A0A2G4J750	A0A844GDF8
6545	A0A936EVI9	A0A2G4J750	A0A844GDF8
6546	A0A1E4IHR2	A0A2G4J750	A0A844GDF8
6547	A0A1F4I373	A0A2G4J750	A0A844GDF8
6548	A0A0Q7AAK5	A0A2G4J750	A0A844GDF8
6549	UPI00197FBEFF	A0A2G4J750	A0A844GDF8
6550	A0A437RHG2	A0A2G4J750	A0A844GDF8
6551	UPI001904CA47	A0A2G4J750	A0A844GDF8
6552	UPI001E65757F	A0A2G4J750	A0A844GDF8
6553	UPI0002EBA1C2	A0A2G4J750	A0A844GDF8
6554	UPI00020A4B99	A0A2G4J750	A0A844GDF8
6555	UPI0005C293B6	A0A2G4J750	A0A844GDF8
6556	UPI001CE44E4C	A0A2G4J750	A0A844GDF8
6557	A0A4Q3RAN3	A0A2G4J750	A0A844GDF8
6558	UPI00056EF757	A0A2G4J750	A0A844GDF8
6559	UPI000AF62869	A0A2G4J750	A0A844GDF8
6560	UPI00222FAC10	A0A2G4J750	A0A844GDF8
6561	A0A924U1X4	A0A2G4J750	A0A844GDF8
6562	A0A924BUJ4	A0A2G4J750	A0A844GDF8
6563	A0A963P113	A0A2G4J750	A0A844GDF8
6564	A0A437JLU5	A0A2G4J750	A0A844GDF8
6565	A0A964KKF0	A0A2G4J750	A0A844GDF8
6566	UPI0021B3A0FB	A0A2G4J750	A0A844GDF8
6567	UPI000B4B5D25	A0A2G4J750	A0A844GDF8
6568	UPI0021ADBB66	A0A2G4J750	A0A844GDF8
6569	A0A257LMZ1	A0A2G4J750	A0A844GDF8
6570	A0A643FEH5	A0A2G4J750	A0A844GDF8
6571	UPI00034B188A	A0A2G4J750	A0A844GDF8
6572	UPI0020917CB2	A0A2G4J750	A0A844GDF8
6573	A0A523Q529	A0A2G4J750	A0A844GDF8
6574	UPI001CEDC592	A0A2G4J750	A0A844GDF8
6575	UPI001B385B3B	A0A2G4J750	A0A844GDF8
6576	UPI001144CC0E	A0A2G4J750	A0A844GDF8
6577	UPI0009EBB8FF	A0A2G4J750	A0A844GDF8
6578	UPI00223CCD8F	A0A2G4J750	A0A844GDF8
6579	A0A2S5T6T7	A0A2G4J750	A0A844GDF8
6580	A0A3N7CEU2	A0A2G4J750	A0A844GDF8
6581	A0A257FJV8	A0A2G4J750	A0A844GDF8
6582	UPI002072DA67	A0A2G4J750	A0A844GDF8
6583	UPI0007864F11	A0A2G4J750	A0A844GDF8
6584	A0A2S5SUL7	A0A2G4J750	A0A844GDF8
6585	UPI000A008FBE	A0A2G4J750	A0A844GDF8
6586	UPI0021E35AB5	A0A2G4J750	A0A844GDF8
6587	UPI0021E46D56	A0A2G4J750	A0A844GDF8
6588	UPI0021E4C988	A0A2G4J750	A0A844GDF8
6589	UPI0021E4F712	A0A2G4J750	A0A844GDF8
6590	UPI000832DB61	A0A2G4J750	A0A844GDF8
6591	UPI00226E1FF7	A0A2G4J750	A0A844GDF8
6592	A0A519DX67	A0A2G4J750	A0A844GDF8
6593	A0A1E4PW05	A0A2G4J750	A0A844GDF8
6594	A0A839LEH8	A0A2G4J750	A0A844GDF8
6595	A0A2G9CCU6	A0A2G4J750	A0A844GDF8
6596	A0A935BYN1	A0A2G4J750	A0A844GDF8
6597	UPI0022B35546	A0A2G4J750	A0A844GDF8
6598	UPI0021D50077	A0A2G4J750	A0A844GDF8
6599	UPI0015646CC1	A0A2G4J750	A0A844GDF8
6600	UPI00224ACBDB	A0A2G4J750	A0A844GDF8
6601	A0A7Y5PFZ1	A0A2G4J750	A0A844GDF8
6602	UPI001612FDCD	A0A2G4J750	A0A844GDF8
6603	UPI000B4D5862	A0A2G4J750	A0A844GDF8
6604	UPI000831FB66	A0A2G4J750	A0A844GDF8
6605	A0A941U0S4	A0A2G4J750	A0A844GDF8
6606	A0A246JG21	A0A2G4J750	A0A844GDF8
6607	A0A950G3W2	A0A2G4J750	A0A844GDF8
6608	A0A936S4P8	A0A2G4J750	A0A844GDF8
6609	UPI00161F6294	A0A2G4J750	A0A844GDF8
6610	UPI0021BF90D2	A0A2G4J750	A0A844GDF8
6611	A0A950HWD0	A0A2G4J750	A0A844GDF8
6612	A0A257CGC4	A0A2G4J750	A0A844GDF8
6613	A0A925R5U5	A0A2G4J750	A0A844GDF8
6614	A0A0Q6WKF6	A0A2G4J750	A0A844GDF8
6615	UPI002151AFD1	A0A2G4J750	A0A844GDF8
6616	A0A937DC59	A0A2G4J750	A0A844GDF8
6617	UPI000E65845F	A0A2G4J750	A0A844GDF8
6618	UPI000E646373	A0A2G4J750	A0A844GDF8
6619	UPI001F53AF85	A0A2G4J750	A0A844GDF8
6620	A0A522BZ61	A0A2G4J750	A0A844GDF8
6621	A0A521Y1B7	A0A2G4J750	A0A844GDF8
6622	A0A924PS38	A0A2G4J750	A0A844GDF8
6623	A0A2U8FRW1	A0A2G4J750	A0A844GDF8
6624	UPI002111BF9C	A0A2G4J750	A0A844GDF8
6625	A0A519Z3B5	A0A2G4J750	A0A844GDF8
6626	A0A258RIL2	A0A2G4J750	A0A844GDF8
6627	A0A257DEV8	A0A2G4J750	A0A844GDF8
6628	A0A924QCF4	A0A2G4J750	A0A844GDF8
6629	UPI002023688B	A0A2G4J750	A0A844GDF8
6630	UPI0009FA7DED	A0A2G4J750	A0A844GDF8
6631	A0A3N7HP41	A0A2G4J750	A0A844GDF8
6632	UPI00112DF15F	A0A2G4J750	A0A844GDF8
6633	UPI00097C6E4E	A0A2G4J750	A0A844GDF8
6634	A0A931J3Q0	A0A2G4J750	A0A844GDF8
6635	A0A931IXP0	A0A2G4J750	A0A844GDF8
6636	A0A437LC86	A0A2G4J750	A0A844GDF8
6637	A0A2W5E3F6	A0A2G4J750	A0A844GDF8
6638	A0A5C1Q250	A0A2G4J750	A0A844GDF8
6639	UPI0020425572	A0A2G4J750	A0A844GDF8
6640	A0A848F9G3	A0A2G4J750	A0A844GDF8
6641	UPI0003F5A0EB	A0A2G4J750	A0A844GDF8
6642	UPI0012F908BE	A0A2G4J750	A0A844GDF8
6643	A0A426VFW1	A0A2G4J750	A0A844GDF8
6644	A0A1F4MNY8	A0A2G4J750	A0A844GDF8
6645	A0A947QA91	A0A2G4J750	A0A844GDF8
6646	A0A521ZTM1	A0A2G4J750	A0A844GDF8
6647	UPI0013788E00	A0A2G4J750	A0A844GDF8
6648	A0A519G5N3	A0A2G4J750	A0A844GDF8
6649	A0A5C7TX45	A0A2G4J750	A0A844GDF8
6650	A0A431KD94	A0A2G4J750	A0A844GDF8
6651	A0A4Q9H5F2	A0A2G4J750	A0A844GDF8
6652	A0A947HZT1	A0A2G4J750	A0A844GDF8
6653	A0A519ZRL8	A0A2G4J750	A0A844GDF8
6654	A0A1F4GH46	A0A2G4J750	A0A844GDF8
6655	A0A924TRN2	A0A2G4J750	A0A844GDF8
6656	A0A257KYY5	A0A2G4J750	A0A844GDF8
6657	A0A7Y6NKM7	A0A2G4J750	A0A844GDF8
6658	UPI0021E44C10	A0A2G4J750	A0A844GDF8
6659	UPI0021E47D9C	A0A2G4J750	A0A844GDF8
6660	UPI0014950987	A0A2G4J750	A0A844GDF8
6661	A0A0Q7DGU9	A0A2G4J750	A0A844GDF8
6662	A0A4V0YMJ1	A0A2G4J750	A0A844GDF8
6663	A0A2N8KUY9	A0A2G4J750	A0A844GDF8
6664	A0A949D3C1	A0A2G4J750	A0A844GDF8
6665	UPI000FDD1EE5	A0A2G4J750	A0A844GDF8
6666	A0A975E439	A0A2G4J750	A0A844GDF8
6667	A0A935NLY0	A0A2G4J750	A0A844GDF8
6668	A0A941PX16	A0A2G4J750	A0A844GDF8
6669	A0A0Q6MYA0	A0A2G4J750	A0A844GDF8
6670	UPI0014451FA6	A0A2G4J750	A0A844GDF8
6671	UPI0020431CF1	A0A2G4J750	A0A844GDF8
6672	UPI0009364698	A0A2G4J750	A0A844GDF8
6673	UPI000E5BF305	A0A2G4J750	A0A844GDF8
6674	UPI001F4C3AA2	A0A2G4J750	A0A844GDF8
6675	A0A952H670	A0A2G4J750	A0A844GDF8
6676	A0A7S9GHB2	A0A2G4J750	A0A844GDF8
6677	UPI001D025335	A0A2G4J750	A0A844GDF8
6678	UPI0009EA4F19	A0A2G4J750	A0A844GDF8
6679	UPI001F35C0B7	A0A2G4J750	A0A844GDF8
6680	A0A0Q7SU38	A0A2G4J750	A0A844GDF8
6681	A0A254N863	A0A2G4J750	A0A844GDF8
6682	A0A0Q8GIK2	A0A2G4J750	A0A844GDF8
6683	UPI0009EBB9CF	A0A2G4J750	A0A844GDF8
6684	A0A519IF58	A0A2G4J750	A0A844GDF8
6685	UPI00227BD42A	A0A2G4J750	A0A844GDF8
6686	A0A5C7NHQ1	A0A2G4J750	A0A844GDF8
6687	A0A965NA56	A0A2G4J750	A0A844GDF8
6688	A0A431L0C8	A0A2G4J750	A0A844GDF8
6689	A0A520BVW8	A0A2G4J750	A0A844GDF8
6690	UPI00227BEC18	A0A2G4J750	A0A844GDF8
6691	A0A431J5Z3	A0A2G4J750	A0A844GDF8
6692	UPI001F311B03	A0A2G4J750	A0A844GDF8
6693	A0A966P0K3	A0A2G4J750	A0A844GDF8
6694	A0A3B8R9C7	A0A2G4J750	A0A844GDF8
6695	A0A965GJG5	A0A2G4J750	A0A844GDF8
6696	A0A966VJJ1	A0A2G4J750	A0A844GDF8
6697	A0A938BRT2	A0A2G4J750	A0A844GDF8
6698	A0A2H5WHN6	A0A2H5WHN6	A0A2H5WHN6
6699	A0A2S5XNI7	A0A2S5XNI7	A0A1F3P0H5
6700	A0A166D6R3	A0A2S5XNI7	A0A1F3P0H5
6701	A0A5D0XJJ0	A0A2S5XNI7	A0A1F3P0H5
6702	A0A954YUY5	A0A954YUY5	
6703	A0A956GT87	D0LYM1	A0A7W1YIF3
6704	D0LYM1	D0LYM1	A0A7W1YIF3
6705	UPI0005D4810E	D0LYM1	A0A7W1YIF3
6706	A0A3M2DNL0	D0LYM1	A0A7W1YIF3
6707	A0A958LBJ5	A0A958LBJ5	
6708	A0A976D3N3	A0A976D3N3	
6709	G7EII0	G7EII0	A0A6L8EW27
6710	UPI000206D548	UPI000206D548	
6711	UPI00030AC796	UPI00030AC796	
6712	A0A5C8P090	A0A5C8P090	A0A3E3E572
6713	UPI000A4CB378	A0A5C8P090	A0A3E3E572
6714	UPI001EDEB3BB	A0A5C8P090	A0A3E3E572
6715	UPI000C1BF07B	A0A5C8P090	A0A3E3E572
6716	A0A7C5K9P2	A0A7C5K9P2	A0A7X7FE45
6717	A0A7C7H2E6	A0A7C7H2E6	A0A6A0IMM5
6718	A0A7Z9PFR8	A0A7C7H2E6	A0A6A0IMM5
6719	A0A7V1DSX1	A0A7V1DSX1	A0A3E3E572
6720	A0A7V5K4Y6	A0A7V5K4Y6	A0A3E3E572
6721	A0A7V2YDT1	A0A7V5K4Y6	A0A3E3E572
6722	A0A7V9IAH1	A0A7V9IAH1	A0A2C6E889
6723	A0A7J9WUX1	A0A7V9IAH1	A0A2C6E889
6724	A0A964N4Z1	A0A7V9IAH1	A0A2C6E889
6725	A0A7W0MXP0	A0A7V9IAH1	A0A2C6E889
6726	A0A7V9EKL5	A0A7V9IAH1	A0A2C6E889
6727	A0A938E3G3	A0A7V9IAH1	A0A2C6E889
6728	A0A934NFG1	A0A7V9IAH1	A0A2C6E889
6729	A0A7X3UGT1	A0A7X3UGT1	A0A0G1MST7
6730	A0A7X7SJ44	A0A7X7SJ44	A0A7X7FE45
6731	A0A7X8EGQ9	A0A7X8EGQ9	A0A2C6E889
6732	A0A259V1M2	A0A259V1M2	A0A1W6KC51
6733	A0A2D6N199	A0A2D6N199	A0A537Z4J0
6734	A0A2G6C7F4	A0A2G6C7F4	A0A2C6E889
6735	A0A2G6NSL6	A0A2G6NSL6	A0A6A0IMM5
6736	A0A2N2X4K3	A0A2N2X4K3	A0A6A0IMM5
6737	A0A359L8G8	A0A2N2X4K3	A0A6A0IMM5
6738	A0A2N5YY28	A0A2N5YY28	A0A3E3E572
6739	A0A940ABE9	A0A2N5YY28	A0A3E3E572
6740	A0A847Q9Y7	A0A2N5YY28	A0A3E3E572
6741	A0A969WMQ1	A0A2N5YY28	A0A3E3E572
6743	A0A2V2CDK1	A0A2V2CDK1	A0A2V2CDK1
6744	A0A2V5TFA3	A0A2V5TFA3	A0A7X8WLE8
6745	A0A2V7XID3	A0A2V7XID3	A0A844GDF8
6746	A0A2V7VH40	A0A2V7XID3	A0A844GDF8
6747	A0A2V7X0B9	A0A2V7XID3	A0A844GDF8
6748	A0A2V9MUS7	A0A2V9MUS7	A0A2V9MUS7
6749	A0A351MKZ7	A0A351MKZ7	A0A2C6E889
6750	A0A7Y5Q970	A0A351MKZ7	A0A2C6E889
6751	A0A355TZJ2	A0A355TZJ2	A0A3E3E572
6752	A0A927XDL0	A0A355TZJ2	A0A3E3E572
6753	A0A846YXI8	A0A846YXI8	A0A2C6E889
6754	A0A6B3BTS6	A0A846YXI8	A0A2C6E889
6755	UPI0007C71030	A0A846YXI8	A0A2C6E889
6756	UPI001CD3632A	A0A846YXI8	A0A2C6E889
6757	UPI0022A76D8D	A0A846YXI8	A0A2C6E889
6758	UPI001E48A71F	A0A846YXI8	A0A2C6E889
6759	UPI001E4146A0	A0A846YXI8	A0A2C6E889
6760	UPI001E353A95	A0A846YXI8	A0A2C6E889
6761	A0A849WUJ8	A0A849WUJ8	A0A3E3E572
6762	A0A854B5G6	A0A854B5G6	A0A3E3E572
6763	A0A8G1NXZ2	A0A1Z1FCS9	A0A6A0IMM5
6764	UPI001F222592	A0A1Z1FCS9	A0A6A0IMM5
6765	UPI001E581DB6	A0A1Z1FCS9	A0A6A0IMM5
6766	UPI001E331930	A0A1Z1FCS9	A0A6A0IMM5
6767	A0A1Z1FCS9	A0A1Z1FCS9	A0A6A0IMM5
6768	A0A2D8D5D0	A0A1Z1FCS9	A0A6A0IMM5
6769	A0A7G6VW96	A0A1Z1FCS9	A0A6A0IMM5
6770	A0A850GYU6	A0A1Z1FCS9	A0A6A0IMM5
6771	UPI001C3E7A2F	A0A1Z1FCS9	A0A6A0IMM5
6772	A0A2D9X7F7	A0A1Z1FCS9	A0A6A0IMM5
6773	A0A2K1E5Q7	A0A1Z1FCS9	A0A6A0IMM5
6774	A0A2D4Y7R6	A0A1Z1FCS9	A0A6A0IMM5
6775	A0A2D6NJD9	A0A1Z1FCS9	A0A6A0IMM5
6776	UPI001C86708D	A0A1Z1FCS9	A0A6A0IMM5
6777	UPI001FD3CC36	A0A1Z1FCS9	A0A6A0IMM5
6778	UPI001C98CEB0	A0A1Z1FCS9	A0A6A0IMM5
6779	A0A8G1P2Q7	A0A1Z1FCS9	A0A6A0IMM5
6780	UPI001C87C320	A0A1Z1FCS9	A0A6A0IMM5
6781	UPI001C971B18	A0A1Z1FCS9	A0A6A0IMM5
6782	A0A5P6N9U1	A0A1Z1FCS9	A0A6A0IMM5
6783	A0A2D9X6Z3	A0A1Z1FCS9	A0A6A0IMM5
6784	UPI001C88F2DC	A0A1Z1FCS9	A0A6A0IMM5
6785	A0A222EZ80	A0A1Z1FCS9	A0A6A0IMM5
6786	UPI00141B2B18	A0A1Z1FCS9	A0A6A0IMM5
6787	UPI001CFDCE05	A0A1Z1FCS9	A0A6A0IMM5
6788	UPI00215A5809	A0A1Z1FCS9	A0A6A0IMM5
6789	UPI001C9DD5C4	A0A1Z1FCS9	A0A6A0IMM5
6790	UPI001C89A79D	A0A1Z1FCS9	A0A6A0IMM5
6791	A0A2A4P4F3	A0A1Z1FCS9	A0A6A0IMM5
6792	UPI00209F58B4	A0A1Z1FCS9	A0A6A0IMM5
6793	UPI0021E5BD34	A0A1Z1FCS9	A0A6A0IMM5
6794	A0A2D6UNH8	A0A1Z1FCS9	A0A6A0IMM5
6795	UPI001C57340F	A0A1Z1FCS9	A0A6A0IMM5
6796	A0A2E9V1Q0	A0A1Z1FCS9	A0A6A0IMM5
6797	UPI001ADB8D1D	A0A1Z1FCS9	A0A6A0IMM5
6798	UPI000C22D6E8	A0A1Z1FCS9	A0A6A0IMM5
6799	UPI001CD1F0A7	A0A1Z1FCS9	A0A6A0IMM5
6800	A0A6I4TKK9	A0A1Z1FCS9	A0A6A0IMM5
6801	UPI001FFC8FAB	A0A1Z1FCS9	A0A6A0IMM5
6802	A0A7T0R4L4	A0A1Z1FCS9	A0A6A0IMM5
6803	A0A2D9P9I8	A0A1Z1FCS9	A0A6A0IMM5
6804	A0A2E7M1R5	A0A1Z1FCS9	A0A6A0IMM5
6805	A0A176E178	A0A1Z1FCS9	A0A6A0IMM5
6806	A0A2D6KN37	A0A1Z1FCS9	A0A6A0IMM5
6807	UPI001C870216	A0A1Z1FCS9	A0A6A0IMM5
6808	A0A520VMC5	A0A1Z1FCS9	A0A6A0IMM5
6809	A0A6I4UBH2	A0A1Z1FCS9	A0A6A0IMM5
6810	UPI0007B980F0	A0A1Z1FCS9	A0A6A0IMM5
6811	UPI001E586CB5	A0A1Z1FCS9	A0A6A0IMM5
6812	A0A2D8FJP0	A0A1Z1FCS9	A0A6A0IMM5
6813	A0A2E3HMB7	A0A1Z1FCS9	A0A6A0IMM5
6814	A0A109LVL7	A0A1Z1FCS9	A0A6A0IMM5
6815	A0A844XZZ8	A0A1Z1FCS9	A0A6A0IMM5
6816	UPI001C99F0DB	A0A1Z1FCS9	A0A6A0IMM5
6817	UPI0021F631BE	A0A1Z1FCS9	A0A6A0IMM5
6818	UPI0021E5F6E5	A0A1Z1FCS9	A0A6A0IMM5
6819	UPI001ADEEF01	A0A1Z1FCS9	A0A6A0IMM5
6820	UPI001C8A3905	A0A1Z1FCS9	A0A6A0IMM5
6821	UPI0007103F59	A0A1Z1FCS9	A0A6A0IMM5
6822	UPI00105A8642	A0A1Z1FCS9	A0A6A0IMM5
6823	UPI000F7D5FBA	A0A1Z1FCS9	A0A6A0IMM5
6824	A0A976J1V9	A0A1Z1FCS9	A0A6A0IMM5
6825	UPI001F27261E	A0A1Z1FCS9	A0A6A0IMM5
6826	A0A2W6SW05	A0A1Z1FCS9	A0A6A0IMM5
6827	A0A2W5AIG2	A0A1Z1FCS9	A0A6A0IMM5
6828	A0A2E6S0K9	A0A1Z1FCS9	A0A6A0IMM5
6829	UPI001F2D349D	A0A1Z1FCS9	A0A6A0IMM5
6830	A0A345YCN1	A0A1Z1FCS9	A0A6A0IMM5
6831	A0A2E8LTH3	A0A1Z1FCS9	A0A6A0IMM5
6832	UPI001C884E46	A0A1Z1FCS9	A0A6A0IMM5
6833	A0A844XTI8	A0A1Z1FCS9	A0A6A0IMM5
6834	A0A8J6TF70	A0A2N6BYD0	A0A2C6E889
6835	A0A2N6BYD0	A0A2N6BYD0	A0A2C6E889
6836	A0A0S8AL06	A0A2N6BYD0	A0A2C6E889
6837	A0A0S8CX79	A0A2N6BYD0	A0A2C6E889
6838	A0A1Q6DQC4	A0A2N6BYD0	A0A2C6E889
6839	A0A7C3QB62	A0A2N6BYD0	A0A2C6E889
6840	A0A947V491	A0A2N6BYD0	A0A2C6E889
6841	A0A7C8FAK4	A0A2N6BYD0	A0A2C6E889
6842	A0A1F9L1Z1	A0A2N6BYD0	A0A2C6E889
6843	A0A1F9LYC2	A0A2N6BYD0	A0A2C6E889
6844	A0A523C4Z4	A0A2N6BYD0	A0A2C6E889
6845	A0A3D1ANS5	A0A2N6BYD0	A0A2C6E889
6846	A0A7C2X915	A0A2N6BYD0	A0A2C6E889
6847	A0A948F870	A0A2N6BYD0	A0A2C6E889
6848	A0A948FBG2	A0A2N6BYD0	A0A2C6E889
6849	A0A2N6BXC0	A0A2N6BYD0	A0A2C6E889
6850	A0A949EAI3	A0A2N6BYD0	A0A2C6E889
6851	A0A3A6P0D7	A0A2N6BYD0	A0A2C6E889
6852	A0A1J5EUS6	A0A2N6BYD0	A0A2C6E889
6853	A0A927MT85	A0A7W9J4N9	A0A840J464
6854	A0A927MPC0	A0A7W9J4N9	A0A840J464
6855	A0A7W9J4N9	A0A7W9J4N9	A0A840J464
6856	A0A853BF01	A0A7W9J4N9	A0A840J464
6857	A0A561BYU8	A0A7W9J4N9	A0A840J464
6858	A0A852X0F5	A0A7W9J4N9	A0A840J464
6859	A0A928HSR7	A0A928HSR7	
6860	A0A939U3X2	A0A939U3X2	
6861	A0A940C2M5	A0A940C2M5	
6862	A0A948CU02	A0A948CU02	
6863	A0A951WND7	A0A951WND7	
6864	A0A952QJ94	A0A1Y0H2J2	A0A6A0IMM5
6865	A0A942BGF6	A0A1Y0H2J2	A0A6A0IMM5
6866	A0A931LRJ0	A0A1Y0H2J2	A0A6A0IMM5
6867	A0A922Z8M4	A0A1Y0H2J2	A0A6A0IMM5
6868	A0A1Y0H2J2	A0A1Y0H2J2	A0A6A0IMM5
6869	A0A955GJ54	A0A1F4XKN8	A0A2C6E889
6870	A0A1F4XKN8	A0A1F4XKN8	A0A2C6E889
6871	A0A955GBS1	A0A1F4XKN8	A0A2C6E889
6872	A0A2G6C2T3	A0A1F4XKN8	A0A2C6E889
6873	A0A839JQ86	A0A1F4XKN8	A0A2C6E889
6874	A0A7X6P6A4	A0A1F4XKN8	A0A2C6E889
6875	A0A660M324	A0A1F4XKN8	A0A2C6E889
6876	R4PVZ7	A0A1F4XKN8	A0A2C6E889
6877	A0A925VTL6	A0A1F4XKN8	A0A2C6E889
6878	A0A857VAI5	A0A1F4XKN8	A0A2C6E889
6879	A0A955FNV5	A0A1F4XKN8	A0A2C6E889
6880	A0A955FK35	A0A1F4XKN8	A0A2C6E889
6881	A0A0G4AZ03	A0A1F4XKN8	A0A2C6E889
6882	A0A955K0V6	A0A1F4XKN8	A0A2C6E889
6883	A0A519ZD88	A0A1F4XKN8	A0A2C6E889
6884	A0A7Y0FMH6	A0A1F4XKN8	A0A2C6E889
6885	A0A957SAC5	A0A2E9MVC9	A0A0G1MST7
6886	A0A2E9MVC9	A0A2E9MVC9	A0A0G1MST7
6887	A0A963WQ01	A0A963WQ01	
6888	A0A970U9V6	A0A256WB18	A0A7X7FE45
6889	A0A256WB18	A0A256WB18	A0A7X7FE45
6890	A0A1W9R909	A0A256WB18	A0A7X7FE45
6891	A0A847IYQ6	A0A256WB18	A0A7X7FE45
6892	A0A972LJ99	A0A521RX96	A0A2C6E889
6893	A0A932WI65	A0A521RX96	A0A2C6E889
6894	A0A521RX96	A0A521RX96	A0A2C6E889
6895	A0A7X6DR65	A0A521RX96	A0A2C6E889
6896	A0A1G1HZG8	A0A521RX96	A0A2C6E889
6897	A0A8J3TDI8	A0A8J3TDI8	
6898	A0A8J7US32	A0A5Q4FI02	A0A7X7FE45
6899	A0A5Q4FI02	A0A5Q4FI02	A0A7X7FE45
6900	A0A927PF25	A0A6N9PMM2	A0A2C6E889
6901	A0A927VKB7	A0A6N9PMM2	A0A2C6E889
6902	A0A6N9PMM2	A0A6N9PMM2	A0A2C6E889
6903	UPI001C3E9934	A0A6N9PMM2	A0A2C6E889
6904	UPI001413162B	A0A6N9PMM2	A0A2C6E889
6905	A0A3A9EKS6	A0A6N9PMM2	A0A2C6E889
6906	A0A1C7GNZ6	A0A6N9PMM2	A0A2C6E889
6907	UPI00210DD61E	A0A6N9PMM2	A0A2C6E889
6908	A0A1E4LGZ3	A0A6N9PMM2	A0A2C6E889
6909	UPI00082C2F01	A0A6N9PMM2	A0A2C6E889
6910	A0A929HB40	A0A929HB40	
6911	A0A932TCS9	A0A932TCS9	
6912	A0A948E5Q2	A0A948E5Q2	
6913	A0A949XHM7	A0A949XHM7	
6914	A0A952R042	A0A4Q5NNM1	A0A2C6E889
6915	A0A4Q5NNM1	A0A4Q5NNM1	A0A2C6E889
6916	A0A948UEM3	A0A4Q5NNM1	A0A2C6E889
6917	A0A965Q030	A0A4Q5NNM1	A0A2C6E889
6918	A0A955KDI4	A0A4Q5NNM1	A0A2C6E889
6919	A0A1G2QGA7	A0A4Q5NNM1	A0A2C6E889
6920	A0A7V1PY18	A0A4Q5NNM1	A0A2C6E889
6921	A0A2M7IN16	A0A4Q5NNM1	A0A2C6E889
6922	A0A0G0ULK2	A0A4Q5NNM1	A0A2C6E889
6923	A0A2M8LAI9	A0A4Q5NNM1	A0A2C6E889
6924	A0A353J6X9	A0A4Q5NNM1	A0A2C6E889
6925	A0A2M7BD76	A0A4Q5NNM1	A0A2C6E889
6926	UPI0020441BC2	A0A4Q5NNM1	A0A2C6E889
6927	A0A932YII0	A0A4Q5NNM1	A0A2C6E889
6928	A0A2H0RJZ7	A0A4Q5NNM1	A0A2C6E889
6929	A0A0G1RJZ2	A0A4Q5NNM1	A0A2C6E889
6930	A0A0G1TQH4	A0A4Q5NNM1	A0A2C6E889
6931	A0A958LTD9	A0A4Q5NNM1	A0A2C6E889
6932	A0A0G0B7Y7	A0A4Q5NNM1	A0A2C6E889
6933	A0A0G0I6V1	A0A4Q5NNM1	A0A2C6E889
6934	A0A847D031	A0A4Q5NNM1	A0A2C6E889
6935	A0A420ZAR0	A0A4Q5NNM1	A0A2C6E889
6936	A0A0G0WAJ1	A0A4Q5NNM1	A0A2C6E889
6937	A0A3D0Y5F9	A0A4Q5NNM1	A0A2C6E889
6938	A0A1F6G6V9	A0A4Q5NNM1	A0A2C6E889
6939	A0A959QW84	A0A2N1V0T4	A0A2C6E889
6940	A0A2N1V0T4	A0A2N1V0T4	A0A2C6E889
6941	A0A964VH33	A0A964VH33	
6942	A0A970YZS5	A0A970YZS5	
6943	A0A972R8E6	A0A1W9T5F6	A0A7X7FE45
6944	UPI0014304F50	A0A1W9T5F6	A0A7X7FE45
6945	UPI001430F171	A0A1W9T5F6	A0A7X7FE45
6946	A0A1W9T5F6	A0A1W9T5F6	A0A7X7FE45
6947	A0A661ZC38	A0A1W9T5F6	A0A7X7FE45
6948	UPI001F0B0A2A	A0A1W9T5F6	A0A7X7FE45
6949	A0A662B377	A0A1W9T5F6	A0A7X7FE45
6950	A0A497DIE1	A0A1W9T5F6	A0A7X7FE45
6951	A0A661Y242	A0A1W9T5F6	A0A7X7FE45
6952	A0A2G6H010	A0A1W9T5F6	A0A7X7FE45
