Unnamed: 0	glucosaminidase-unclustered	glucosaminidase-mmseqs_cluster	glucosaminidase-foldseek_cluster
1488	A0A1N7A3I3	A0A4R7D1Z5	A0A2Z4IUI6
1489	A0A1I1PTN0	A0A4R7D1Z5	A0A2Z4IUI6
1490	A0A3D9HDA9	A0A4R7D1Z5	A0A2Z4IUI6
1491	A0A4U9XZN2	A0A4U9XZN2	A0A1C5L9S3
1492	UPI000E13E74E	A0A4U9XZN2	A0A1C5L9S3
1493	UPI001FAA1975	A0A4U9XZN2	A0A1C5L9S3
1494	A0A521GJ76	A0A521GJ76	A0A351ADY8
1495	A0A7C1H7Q9	A0A7C1H7Q9	A0A7V8YNA9
1496	A0A970YJD5	A0A7C1H7Q9	A0A7V8YNA9
1497	A0A318CGC9	A0A7C1H7Q9	A0A7V8YNA9
1498	A0A2K1SPG7	A0A7C1H7Q9	A0A7V8YNA9
1499	A0A117M2Y9	A0A7C1H7Q9	A0A7V8YNA9
1500	I2F447	A0A7C1H7Q9	A0A7V8YNA9
1501	A0A7V4AVX2	A0A7V4AVX2	A0A7V8YNA9
1502	A0A7X7TFY8	A0A7X7TFY8	A0A7V8YNA9
1504	A0A853T0X0	A0A853T0X0	A0A1H0T8H2
1505	W0V4P0	A0A853T0X0	A0A1H0T8H2
1506	A0A926K3B0	A0A926K3B0	
1507	A0A963ACD3	A0A7W2TUH4	A0A6J4WMC2
1508	A0A7W2TUH4	A0A7W2TUH4	A0A6J4WMC2
1509	UPI000F0B7699	A0A7W2TUH4	A0A6J4WMC2
1510	A0A4R2KJP4	A0A7W2TUH4	A0A6J4WMC2
1511	UPI0013906C48	A0A7W2TUH4	A0A6J4WMC2
1512	UPI0013007981	A0A7W2TUH4	A0A6J4WMC2
1513	A0A939IN45	A0A7W2TUH4	A0A6J4WMC2
1514	A0A962LCT1	A0A7W2TUH4	A0A6J4WMC2
1515	A0A962PJ31	A0A7W2TUH4	A0A6J4WMC2
1516	A0A962Q5S1	A0A7W2TUH4	A0A6J4WMC2
1517	A0A962Q1J8	A0A7W2TUH4	A0A6J4WMC2
1518	A0A929HWC2	A0A7W2TUH4	A0A6J4WMC2
1519	A0A962R007	A0A7W2TUH4	A0A6J4WMC2
1520	A0A963EUC7	A0A7W2TUH4	A0A6J4WMC2
1521	A0A962KJU4	A0A7W2TUH4	A0A6J4WMC2
1522	A0A962R158	A0A7W2TUH4	A0A6J4WMC2
1523	A0A974S8G6	A0A974S8G6	
1525	C8NHG3	C8NHG3	A0A069RIP0
1526	E2SI43	E2SI43	A0A380LML7
1528	H3NPM4	H3NPM4	
1529	UPI00100510D0	UPI00100510D0	
1530	UPI0012EECBCF	UPI0012EECBCF	
1531	UPI0018DD86E0	UPI0018DD86E0	
1532	UPI001AEFAEA3	UPI001AEFAEA3	
1533	UPI0013C7973E	UPI0013C7973E	
1534	UPI000B53A0FD	UPI000B53A0FD	
1535	UPI0013F4036F	A0A4V2MB93	A0A7V8YNA9
1536	A0A4V2MB93	A0A4V2MB93	A0A7V8YNA9
1537	UPI00162ADF4B	A0A841Z1W7	A0A2Z4IUI6
1538	A0A841Z1W7	A0A841Z1W7	A0A2Z4IUI6
1539	UPI0016238635	A0A841Z1W7	A0A2Z4IUI6
1540	A0A4R6ZQQ4	A0A841Z1W7	A0A2Z4IUI6
1541	W7BRB2	A0A841Z1W7	A0A2Z4IUI6
1542	A0A7X0XL13	A0A841Z1W7	A0A2Z4IUI6
1543	A0A842EAV1	A0A841Z1W7	A0A2Z4IUI6
1544	UPI00162413FD	A0A841Z1W7	A0A2Z4IUI6
1545	A0A7X0XRR2	A0A841Z1W7	A0A2Z4IUI6
1546	A0A842EG34	A0A841Z1W7	A0A2Z4IUI6
1547	UPI001624BAD4	A0A841Z1W7	A0A2Z4IUI6
1548	UPI00162A361F	A0A841Z1W7	A0A2Z4IUI6
1549	A0A7X0XZ45	A0A841Z1W7	A0A2Z4IUI6
1550	A0A842ESI0	A0A841Z1W7	A0A2Z4IUI6
1551	A0A7X0YJE4	A0A841Z1W7	A0A2Z4IUI6
1552	A0A842F9Z6	A0A841Z1W7	A0A2Z4IUI6
1553	UPI001624ECDA	A0A841Z1W7	A0A2Z4IUI6
1554	A0A7X0Z426	A0A841Z1W7	A0A2Z4IUI6
1555	A0A842FET6	A0A841Z1W7	A0A2Z4IUI6
1556	UPI0016255DD4	A0A841Z1W7	A0A2Z4IUI6
1557	A0A7X0ZQZ4	A0A841Z1W7	A0A2Z4IUI6
1558	A0A842GHI1	A0A841Z1W7	A0A2Z4IUI6
1559	UPI0016255DEE	A0A841Z1W7	A0A2Z4IUI6
1560	A0A7X1D5J0	A0A841Z1W7	A0A2Z4IUI6
1561	A0A842GRJ0	A0A841Z1W7	A0A2Z4IUI6
1562	UPI00162566FB	A0A841Z1W7	A0A2Z4IUI6
1563	A0A7X1DPJ8	A0A841Z1W7	A0A2Z4IUI6
1564	UPI0016257252	A0A841Z1W7	A0A2Z4IUI6
1565	UPI001625A3ED	A0A841Z1W7	A0A2Z4IUI6
1566	A0A841W4Q3	A0A841Z1W7	A0A2Z4IUI6
1567	UPI0016260359	A0A841Z1W7	A0A2Z4IUI6
1568	A0A841WCR5	A0A841Z1W7	A0A2Z4IUI6
1569	UPI0016260901	A0A841Z1W7	A0A2Z4IUI6
1570	A0A841XC10	A0A841Z1W7	A0A2Z4IUI6
1571	UPI0016264787	A0A841Z1W7	A0A2Z4IUI6
1572	A0A841XGA4	A0A841Z1W7	A0A2Z4IUI6
1573	UPI0016268BDE	A0A841Z1W7	A0A2Z4IUI6
1574	A0A841XTT3	A0A841Z1W7	A0A2Z4IUI6
1575	UPI001626BA1F	A0A841Z1W7	A0A2Z4IUI6
1576	A0A841XZR9	A0A841Z1W7	A0A2Z4IUI6
1577	UPI001626D33A	A0A841Z1W7	A0A2Z4IUI6
1578	UPI001E5AA690	A0A841Z1W7	A0A2Z4IUI6
1579	A0A841YAK0	A0A841Z1W7	A0A2Z4IUI6
1580	UPI001627042C	A0A841Z1W7	A0A2Z4IUI6
1581	A0A841YN01	A0A841Z1W7	A0A2Z4IUI6
1582	UPI0016273099	A0A841Z1W7	A0A2Z4IUI6
1583	UPI0016273A1F	A0A841Z1W7	A0A2Z4IUI6
1584	A0A842A237	A0A841Z1W7	A0A2Z4IUI6
1585	A0A842A561	A0A841Z1W7	A0A2Z4IUI6
1586	UPI0016276C7E	A0A841Z1W7	A0A2Z4IUI6
1587	UPI00164D1FE9	A0A841Z1W7	A0A2Z4IUI6
1588	A0A842B427	A0A841Z1W7	A0A2Z4IUI6
1589	UPI0016277219	A0A841Z1W7	A0A2Z4IUI6
1590	A0A842BC73	A0A841Z1W7	A0A2Z4IUI6
1591	UPI001627B44E	A0A841Z1W7	A0A2Z4IUI6
1592	UPI00164DA532	A0A841Z1W7	A0A2Z4IUI6
1593	A0A842BK21	A0A841Z1W7	A0A2Z4IUI6
1594	UPI001628F71C	A0A841Z1W7	A0A2Z4IUI6
1595	UPI00164E2B3A	A0A841Z1W7	A0A2Z4IUI6
1596	A0A842BWS2	A0A841Z1W7	A0A2Z4IUI6
1597	UPI00162943AE	A0A841Z1W7	A0A2Z4IUI6
1598	UPI00164EB044	A0A841Z1W7	A0A2Z4IUI6
1599	A0A842CEQ3	A0A841Z1W7	A0A2Z4IUI6
1600	UPI0016234FDA	A0A841Z1W7	A0A2Z4IUI6
1601	UPI0016295AD8	A0A841Z1W7	A0A2Z4IUI6
1602	A0A842CNN3	A0A841Z1W7	A0A2Z4IUI6
1603	UPI00162357BE	A0A841Z1W7	A0A2Z4IUI6
1604	UPI0016295E0C	A0A841Z1W7	A0A2Z4IUI6
1605	A0A842CXX8	A0A841Z1W7	A0A2Z4IUI6
1606	UPI0016235CF4	A0A841Z1W7	A0A2Z4IUI6
1607	UPI0016295E98	A0A841Z1W7	A0A2Z4IUI6
1608	A0A842DE11	A0A841Z1W7	A0A2Z4IUI6
1609	UPI0016295EF3	A0A841Z1W7	A0A2Z4IUI6
1610	A0A7X0TMM0	A0A841Z1W7	A0A2Z4IUI6
1611	A0A842DL66	A0A841Z1W7	A0A2Z4IUI6
1612	UPI001623BDEF	A0A841Z1W7	A0A2Z4IUI6
1613	A0A7X0WTH7	A0A841Z1W7	A0A2Z4IUI6
1614	A0A842DXU2	A0A841Z1W7	A0A2Z4IUI6
1615	UPI001623E11E	A0A841Z1W7	A0A2Z4IUI6
1616	UPI001629E00D	A0A841Z1W7	A0A2Z4IUI6
1617	A0A7X0XG76	A0A841Z1W7	A0A2Z4IUI6
1618	A0A842E3K8	A0A841Z1W7	A0A2Z4IUI6
1619	UPI001624133A	A0A841Z1W7	A0A2Z4IUI6
1620	UPI00162A0470	A0A841Z1W7	A0A2Z4IUI6
1621	UPI0016813F2D	UPI0016813F2D	
1622	UPI001C0FC485	UPI001C0FC485	
1623	UPI0017482F02	UPI0017482F02	
1624	UPI00046F2FDB	UPI00046F2FDB	
1625	UPI001188CB62	UPI001188CB62	
1626	UPI00203CCB0E	UPI00203CCB0E	
1627	UPI0007AB82F5	UPI0007AB82F5	
1628	UPI00068E987E	UPI00068E987E	
1629	UPI00177D0741	UPI00177D0741	
1630	UPI0008297AF1	UPI0008297AF1	
1631	UPI001AD826EA	UPI001AD826EA	
1632	UPI001C845427	UPI001C845427	
1633	UPI001ABBD51B	UPI001ABBD51B	
1634	UPI001C85B585	UPI001C85B585	
1635	UPI001C864369	UPI001C864369	
1636	UPI001C864ADA	UPI001C864ADA	
1637	UPI001A29800A	UPI001A29800A	
1638	UPI001C4DF9F0	UPI001C4DF9F0	
1639	UPI001CF6D45B	UPI001CF6D45B	
1640	K7RMG6	K7RMG6	A0A2P2BVU5
1643	R7I4Q4	R7I4Q4	M7MUC1
1644	T2RE69	T2RE69	T2RE69
1645	T4VL05	T2RE69	T2RE69
1646	T3DCG0	T2RE69	T2RE69
1647	T4VQ86	T2RE69	T2RE69
1648	U2P4R5	U2P4R5	A0A1H2Z0U0
1649	UPI0002A3B336	C9B8X0	C9B8X0
1650	UPI0002A3F30F	C9B8X0	C9B8X0
1651	C9B8X0	C9B8X0	C9B8X0
1652	UPI00032DA663	C9B8X0	C9B8X0
1653	UPI00032DE1AB	C9B8X0	C9B8X0
1654	UPI00032DFB5C	C9B8X0	C9B8X0
1655	UPI00032EED54	C9B8X0	C9B8X0
1656	R2PNW1	C9B8X0	C9B8X0
1657	UPI0002A38D29	C9B8X0	C9B8X0
1658	UPI00040AEE84	UPI00040AEE84	
1659	UPI0004E0BF33	UPI0004E0BF33	
1660	UPI0015FE0DB7	UPI0015FE0DB7	
1661	UPI00055E2551	UPI00055E2551	
1662	UPI00093A806C	UPI00093A806C	
1663	UPI0019329E37	UPI0019329E37	
1664	UPI0002F63A0E	UPI0002F63A0E	
1665	UPI000CF85FFD	UPI000CF85FFD	
1666	UPI000D0B92B1	UPI000D0B92B1	
1667	UPI001FAF4DBC	UPI001FAF4DBC	
1668	UPI001CBFBC9F	UPI001CBFBC9F	
1669	UPI0009315CB7	UPI0009315CB7	
1670	UPI001AE5F040	UPI001AE5F040	
1671	UPI000A072886	UPI000A072886	
1672	UPI001064EB89	UPI001064EB89	
1673	UPI0013F3A56E	UPI0013F3A56E	
1674	UPI001AE88193	UPI001AE88193	
1675	UPI0013F3D639	UPI0013F3D639	
1676	UPI0013F40209	UPI0013F40209	
1677	UPI0013F416A8	UPI0013F416A8	
1678	UPI00104065DA	UPI00104065DA	
1679	UPI0021026E37	UPI0021026E37	
1680	UPI00082FCE7F	UPI00082FCE7F	
1681	UPI001C2C15EF	UPI001C2C15EF	
1682	UPI0020A301C2	UPI0020A301C2	
1683	UPI0007C82B6E	UPI0007C82B6E	
1684	UPI002029FC54	UPI002029FC54	
1685	UPI0019FD05D9	UPI0019FD05D9	
1686	UPI0010E04894	T1WGN1	T1WGN1
1687	UPI0010EB61A5	T1WGN1	T1WGN1
1688	UPI000E059F62	T1WGN1	T1WGN1
1689	UPI0010EE4211	T1WGN1	T1WGN1
1690	UPI0010F174E1	T1WGN1	T1WGN1
1691	UPI000DA29D26	T1WGN1	T1WGN1
1692	UPI0010F428E2	T1WGN1	T1WGN1
1693	UPI00109D6F15	T1WGN1	T1WGN1
1694	A0A8H2N1T2	T1WGN1	T1WGN1
1695	UPI000DA2D61D	T1WGN1	T1WGN1
1696	UPI00109B755C	T1WGN1	T1WGN1
1697	UPI00100D9BF7	T1WGN1	T1WGN1
1698	UPI0010A1CAF4	T1WGN1	T1WGN1
1699	UPI0010CFC3E9	T1WGN1	T1WGN1
1700	UPI00109C51B3	T1WGN1	T1WGN1
1701	UPI0010A12B1F	T1WGN1	T1WGN1
1702	UPI0010D01BA8	T1WGN1	T1WGN1
1703	UPI0010D02B00	T1WGN1	T1WGN1
1704	UPI0010D17AB9	T1WGN1	T1WGN1
1705	UPI0010D9E3C5	T1WGN1	T1WGN1
1706	UPI0010DAD279	T1WGN1	T1WGN1
1707	T1WGN1	T1WGN1	T1WGN1
1708	UPI00109D431A	T1WGN1	T1WGN1
1709	UPI0010A0D73B	T1WGN1	T1WGN1
1710	UPI0010E0172A	T1WGN1	T1WGN1
1711	A0A191T6Q6	T1WGN1	T1WGN1
1712	UPI00135690DA	T1WGN1	T1WGN1
1713	UPI0013568EA1	T1WGN1	T1WGN1
1714	UPI0013571E1E	T1WGN1	T1WGN1
1715	UPI0013583399	T1WGN1	T1WGN1
1716	UPI00135A2B74	T1WGN1	T1WGN1
1717	UPI00135C0BFC	T1WGN1	T1WGN1
1718	A0A2W5ART4	T1WGN1	T1WGN1
1719	UPI00135C3E4E	T1WGN1	T1WGN1
1720	UPI00135CCADD	T1WGN1	T1WGN1
1721	UPI00135C1A5B	T1WGN1	T1WGN1
1722	UPI001C8EB1C3	T1WGN1	T1WGN1
1723	A0A380JPR7	T1WGN1	T1WGN1
1724	A0A922NUI3	T1WGN1	T1WGN1
1725	A0A7Z9D1D9	T1WGN1	T1WGN1
1726	UPI001FA91C8D	UPI001FA91C8D	
1727	UPI0021CDDEB5	UPI0021CDDEB5	
1728	UPI002253DCAE	UPI002253DCAE	
1729	W4TPE5	W4TPE5	W4TPE5
1730	W4TFX7	W4TPE5	W4TPE5
1731	W8U5K7	W8U5K7	A0A069RIP0
1732	A0A023CJU6	A0A023CJU6	A0A4R2LZN7
1733	A0A7V9ZAV3	A0A023CJU6	A0A4R2LZN7
1734	A0A1W6VVR9	A0A023CJU6	A0A4R2LZN7
1735	A0A561X725	A0A023CJU6	A0A4R2LZN7
1736	A0A4R2BJC3	A0A023CJU6	A0A4R2LZN7
1737	A0A0C1U1Z2	A0A0C1U1Z2	A0A1H2Z0U0
1738	A0A0G1KT94	A0A0G1KT94	D7VIZ1
1739	A0A0X1RWD2	A0A0X1RWD2	A0A1H8UDQ2
1740	A0A8B4Q6Z1	A0A0X1RWD2	A0A1H8UDQ2
1741	A0A126Q011	A0A126Q011	T2RE69
1742	A0A137SQ04	A0A137SQ04	E4KQG4
1744	A0A1H2Z0U0	A0A1H2Z0U0	A0A1H2Z0U0
1745	A0A1M3MES8	A0A1M3MES8	A0A2E9R175
1746	A0A1V4SW00	A0A1V4SW00	R7I4L6
1747	UPI001D079F2A	UPI001D079F2A	
1748	UPI000B375A7A	UPI000B375A7A	
1749	UPI0020117465	UPI0020117465	
1750	UPI00138F36C6	UPI00138F36C6	
1751	UPI001558B78B	UPI001558B78B	
1752	UPI000B3665D9	UPI000B3665D9	
1753	UPI00156D8E63	UPI00156D8E63	
1754	UPI0021133F6D	UPI0021133F6D	
1755	A0A024Q7W0	A0A024Q7W0	A0A1M6GBW1
1756	A0A0K1P6E6	A0A0K1P6E6	A0A0K1P7R6
1757	A0A0K1P676	A0A0K1P6E6	A0A0K1P7R6
1758	A0A0K1W221	A0A0K1P6E6	A0A0K1P7R6
1759	A0A428G115	A0A428G115	A0A1S8NJE1
1760	A0A3R9L7C7	A0A428G115	A0A1S8NJE1
1761	A0A428E759	A0A428G115	A0A1S8NJE1
1762	A0A428DU90	A0A428G115	A0A1S8NJE1
1763	A0A3R9IQK2	A0A428G115	A0A1S8NJE1
1764	A0A3R9TUS2	A0A428G115	A0A1S8NJE1
1765	A0A428BUF4	A0A428G115	A0A1S8NJE1
1766	F9HK52	A0A428G115	A0A1S8NJE1
1767	A0A3R9IV96	A0A428G115	A0A1S8NJE1
1768	A0A428EKQ7	A0A428G115	A0A1S8NJE1
1769	A0A428CRN2	A0A428G115	A0A1S8NJE1
1770	A0A3R9M2Q5	A0A428G115	A0A1S8NJE1
1771	A0A1E1G9D3	A0A428G115	A0A1S8NJE1
1772	A0A428GZJ5	A0A428G115	A0A1S8NJE1
1773	A0A3R9JSJ3	A0A428G115	A0A1S8NJE1
1774	A0A428HDI4	A0A428G115	A0A1S8NJE1
1775	I0SVJ3	A0A428G115	A0A1S8NJE1
1776	A0A3R9QE08	A0A428G115	A0A1S8NJE1
1777	A0A428DEQ1	A0A428G115	A0A1S8NJE1
1778	A0A428HXM5	A0A428G115	A0A1S8NJE1
1779	A0A428IBJ4	A0A428G115	A0A1S8NJE1
1780	E0PZH6	A0A428G115	A0A1S8NJE1
1781	A0A428FWT1	A0A428G115	A0A1S8NJE1
1782	A0A428I6U4	A0A428G115	A0A1S8NJE1
1783	A0A4Q3ACX0	A0A4Q3ACX0	A0A351ADY8
1784	A0A4R2B7F3	A0A4R2B7F3	A0A379AHB8
1785	A0A561VCP0	A0A561VCP0	A0A7V8YNA9
1786	A0A5Q3QBZ9	A0A5Q3QBZ9	A0A4Y3VQ71
1787	UPI001E584DAD	A0A5Q3QBZ9	A0A4Y3VQ71
1788	UPI00224AF3F5	A0A5Q3QBZ9	A0A4Y3VQ71
1789	UPI001CD21D11	A0A5Q3QBZ9	A0A4Y3VQ71
1790	UPI001CD24D8B	A0A5Q3QBZ9	A0A4Y3VQ71
1791	UPI001F2D6973	A0A5Q3QBZ9	A0A4Y3VQ71
1792	UPI0020123256	A0A5Q3QBZ9	A0A4Y3VQ71
1793	A0A4R4UKF6	A0A5Q3QBZ9	A0A4Y3VQ71
1794	A0A4R4VJL6	A0A5Q3QBZ9	A0A4Y3VQ71
1795	UPI001CD5BA8A	A0A5Q3QBZ9	A0A4Y3VQ71
1796	UPI001CD5FF52	A0A5Q3QBZ9	A0A4Y3VQ71
1797	UPI001FB6A918	A0A5Q3QBZ9	A0A4Y3VQ71
1798	A0A4R5BWY2	A0A5Q3QBZ9	A0A4Y3VQ71
1799	A0A426JW20	A0A5Q3QBZ9	A0A4Y3VQ71
1800	UPI0021AD35F1	A0A5Q3QBZ9	A0A4Y3VQ71
1801	A0A929B8C7	A0A5Q3QBZ9	A0A4Y3VQ71
1802	UPI001B35DEF6	A0A5Q3QBZ9	A0A4Y3VQ71
1803	UPI0021DB1E46	A0A5Q3QBZ9	A0A4Y3VQ71
1804	UPI00036FF750	A0A5Q3QBZ9	A0A4Y3VQ71
1805	A0A2T0GWX1	A0A5Q3QBZ9	A0A4Y3VQ71
1806	UPI001FEC881F	A0A5Q3QBZ9	A0A4Y3VQ71
1807	UPI0015E5B52A	A0A5Q3QBZ9	A0A4Y3VQ71
1808	UPI0003658136	A0A5Q3QBZ9	A0A4Y3VQ71
1809	A0A223RY21	A0A5Q3QBZ9	A0A4Y3VQ71
1810	UPI0005136BF5	A0A5Q3QBZ9	A0A4Y3VQ71
1811	UPI001F6056B1	A0A5Q3QBZ9	A0A4Y3VQ71
1812	UPI00168552F5	A0A5Q3QBZ9	A0A4Y3VQ71
1813	A0A073BCB3	A0A5Q3QBZ9	A0A4Y3VQ71
1814	A0A6H1R847	A0A5Q3QBZ9	A0A4Y3VQ71
1815	A0A4R4YVK1	A0A5Q3QBZ9	A0A4Y3VQ71
1816	UPI000427B17C	A0A5Q3QBZ9	A0A4Y3VQ71
1817	UPI001FE36D58	A0A5Q3QBZ9	A0A4Y3VQ71
1818	A0A5M7BQL2	A0A5Q3QBZ9	A0A4Y3VQ71
1819	UPI001F56521A	A0A5Q3QBZ9	A0A4Y3VQ71
1820	A0A917N6C4	A0A5Q3QBZ9	A0A4Y3VQ71
1821	UPI001BA83433	A0A5Q3QBZ9	A0A4Y3VQ71
1822	UPI001F51DFB3	A0A5Q3QBZ9	A0A4Y3VQ71
1823	A0A8J3FTS7	A0A5Q3QBZ9	A0A4Y3VQ71
1824	UPI0021D8CDB8	A0A5Q3QBZ9	A0A4Y3VQ71
1825	UPI001E288B19	A0A5Q3QBZ9	A0A4Y3VQ71
1826	A0A651GSM5	A0A651GSM5	A0A7C1VDL4
1827	A0A6N7EE00	A0A6N7EE00	A0A7J5AUZ8
1828	UPI0012649A3A	A0A6N7EE00	A0A7J5AUZ8
1831	A0A7Y4WX53	A0A7Y4WX53	A0A7W0YKB1
1832	A0A7Z7QDV8	A0A7Z7QDV8	A0A7U6QWL4
1833	A0A832ILU8	A0A832ILU8	A0A2G4HE76
1834	A0A857DCI5	A0A857DCI5	
1835	A0A8J4H2K4	A0A8J4H2K4	
1836	A0A928FVT8	A0A928FVT8	
1837	A0A943ELY5	A0A943ELY5	
1838	A0A966RKX5	A0A2D5N7L3	A0A7C1VDL4
1839	A0A2D5N7L3	A0A2D5N7L3	A0A7C1VDL4
1840	A0A2U2RXP9	A0A2D5N7L3	A0A7C1VDL4
1841	A0A349BVR8	A0A2D5N7L3	A0A7C1VDL4
1842	A0A2E4QB25	A0A2D5N7L3	A0A7C1VDL4
1843	A0A3R7URC2	A0A2D5N7L3	A0A7C1VDL4
1844	A0A1Z8SF14	A0A2D5N7L3	A0A7C1VDL4
1845	A0A2D5K5N3	A0A2D5N7L3	A0A7C1VDL4
1846	A0A3D6DME8	A0A2D5N7L3	A0A7C1VDL4
1847	A0A2E3HR86	A0A2D5N7L3	A0A7C1VDL4
1848	A0A424PF10	A0A2D5N7L3	A0A7C1VDL4
1849	A0A2A5X3M3	A0A2D5N7L3	A0A7C1VDL4
1850	A0A424PB04	A0A2D5N7L3	A0A7C1VDL4
1851	A0A2E5Z2G0	A0A2D5N7L3	A0A7C1VDL4
1852	A0A2E0KL43	A0A2D5N7L3	A0A7C1VDL4
1853	A0A2E8VCK8	A0A2D5N7L3	A0A7C1VDL4
1854	A0A2E6LFZ6	A0A2D5N7L3	A0A7C1VDL4
1855	A0A1B2Z8P7	A0A2D5N7L3	A0A7C1VDL4
1856	A0A2E3X8R0	A0A2D5N7L3	A0A7C1VDL4
1857	A0A2D7A340	A0A2D5N7L3	A0A7C1VDL4
1858	A0A2E7FBT8	A0A2D5N7L3	A0A7C1VDL4
1859	A0A2E9T753	A0A2D5N7L3	A0A7C1VDL4
1860	A0A2E6QRM7	A0A2D5N7L3	A0A7C1VDL4
1861	A0A2D7TQB4	A0A2D5N7L3	A0A7C1VDL4
1862	A0A2E1P6Y9	A0A2D5N7L3	A0A7C1VDL4
1863	A0A2A5X5Q8	A0A2D5N7L3	A0A7C1VDL4
1864	A0A2U3AYQ4	A0A2D5N7L3	A0A7C1VDL4
1865	A0A1E5T8M3	A0A2D5N7L3	A0A7C1VDL4
1866	A0A3D6BVR4	A0A2D5N7L3	A0A7C1VDL4
1867	A0A917GH85	A0A2D5N7L3	A0A7C1VDL4
1868	A0A7G3BQL0	A0A2D5N7L3	A0A7C1VDL4
1869	A0A523G8F5	A0A2D5N7L3	A0A7C1VDL4
1870	A0A0A2H017	A0A2D5N7L3	A0A7C1VDL4
1871	A0A167GVE6	A0A2D5N7L3	A0A7C1VDL4
1872	A0A2S1QEK7	A0A2D5N7L3	A0A7C1VDL4
1873	A0A1A9LIT2	A0A2D5N7L3	A0A7C1VDL4
1874	A0A523GSH7	A0A2D5N7L3	A0A7C1VDL4
1875	A0A523H2W3	A0A2D5N7L3	A0A7C1VDL4
1876	A0A023BV36	A0A2D5N7L3	A0A7C1VDL4
1877	A0A137RJ79	A0A2D5N7L3	A0A7C1VDL4
1878	A0A3A9WI41	A0A2D5N7L3	A0A7C1VDL4
1879	A0A3A9XCX5	A0A2D5N7L3	A0A7C1VDL4
1880	A0A3M0G7G6	A0A2D5N7L3	A0A7C1VDL4
1881	A0A2W1JST3	A0A2D5N7L3	A0A7C1VDL4
1882	A0A410G067	A0A2D5N7L3	A0A7C1VDL4
1883	A0A2S0HZ19	A0A2D5N7L3	A0A7C1VDL4
1884	A0A2E5AY91	A0A2D5N7L3	A0A7C1VDL4
1885	A0A2D4XM35	A0A2D5N7L3	A0A7C1VDL4
1886	A0A163CS42	A0A2D5N7L3	A0A7C1VDL4
1887	A0A2D8FWI4	A0A2D5N7L3	A0A7C1VDL4
1888	A0A2E0YN15	A0A2D5N7L3	A0A7C1VDL4
1889	A0A2D9N9E4	A0A2D5N7L3	A0A7C1VDL4
1890	A0A5J4FZ59	A0A2D5N7L3	A0A7C1VDL4
1891	A0A3M7KL37	A0A2D5N7L3	A0A7C1VDL4
1892	A0A5J4IWN8	A0A2D5N7L3	A0A7C1VDL4
1893	A0A918SAZ6	A0A2D5N7L3	A0A7C1VDL4
1894	A0A0B7IKJ4	A0A2D5N7L3	A0A7C1VDL4
1895	A0A250EV73	A0A2D5N7L3	A0A7C1VDL4
1896	A0A3A1YEZ7	A0A2D5N7L3	A0A7C1VDL4
1897	A0A2R3Z864	A0A2D5N7L3	A0A7C1VDL4
1898	A0A2D8KRP8	A0A2D5N7L3	A0A7C1VDL4
1899	A0A8J2YB37	A0A2D5N7L3	A0A7C1VDL4
1900	A0A4Q9V8M9	A0A2D5N7L3	A0A7C1VDL4
1901	A0A2D9B5Q9	A0A2D5N7L3	A0A7C1VDL4
1902	A0A1L3J328	A0A2D5N7L3	A0A7C1VDL4
1903	A0A2E2IYZ6	A0A2D5N7L3	A0A7C1VDL4
1904	A0A2S0LGW9	A0A2D5N7L3	A0A7C1VDL4
1905	A0A2A3N637	A0A2D5N7L3	A0A7C1VDL4
1906	A0A1Z4BS70	A0A2D5N7L3	A0A7C1VDL4
1907	A0A5M4B656	A0A2D5N7L3	A0A7C1VDL4
1908	A0A250E6S3	A0A2D5N7L3	A0A7C1VDL4
1909	A0A250EV89	A0A2D5N7L3	A0A7C1VDL4
1910	A0A250F7J2	A0A2D5N7L3	A0A7C1VDL4
1911	A0A250FAY9	A0A2D5N7L3	A0A7C1VDL4
1912	A0A250FJ83	A0A2D5N7L3	A0A7C1VDL4
1913	A0A250G1T7	A0A2D5N7L3	A0A7C1VDL4
1914	A0A0X8J9K1	A0A2D5N7L3	A0A7C1VDL4
1915	A0A250G214	A0A2D5N7L3	A0A7C1VDL4
1916	A0A2S0LB16	A0A2D5N7L3	A0A7C1VDL4
1917	A0A0M3RJ49	A0A2D5N7L3	A0A7C1VDL4
1918	A0A437UAA8	A0A2D5N7L3	A0A7C1VDL4
1919	A0A4Z0FHD7	A0A2D5N7L3	A0A7C1VDL4
1920	G8X615	A0A2D5N7L3	A0A7C1VDL4
1921	A0A246GB62	A0A2D5N7L3	A0A7C1VDL4
1922	A0A246GHL5	A0A2D5N7L3	A0A7C1VDL4
1923	A0A0X8C102	A0A2D5N7L3	A0A7C1VDL4
1924	A0A0D6TKQ6	A0A2D5N7L3	A0A7C1VDL4
1925	A0A2T4HGT6	A0A2D5N7L3	A0A7C1VDL4
1926	A0A4Q1K390	A0A2D5N7L3	A0A7C1VDL4
1927	A0A2T1N8X9	A0A2D5N7L3	A0A7C1VDL4
1928	A0A3A9US16	A0A2D5N7L3	A0A7C1VDL4
1929	A0A2E4PJC4	A0A2D5N7L3	A0A7C1VDL4
1930	A0A653S3T2	A0A2D5N7L3	A0A7C1VDL4
1931	A0A4S3ZQS3	A0A2D5N7L3	A0A7C1VDL4
1932	A0A167YA18	A0A2D5N7L3	A0A7C1VDL4
