	ld_carboxypeptidases_unclustered	ld_carboxypeptidases_mmseqs_cluster	ld_carboxypeptidases_foldseek_cluster
10582	UPI00039B9435	UPI0021487D71	
10583	UPI0007624B4B	UPI0021487D71	
10584	UPI000BF4A06F	UPI0021487D71	
10585	UPI0018A10D3E	UPI0021487D71	
10586	UPI0010AD510D	UPI0021487D71	
10587	UPI0020426D14	UPI0021487D71	
10588	UPI00048DEE0A	UPI0021487D71	
10589	UPI0005C59540	UPI0021487D71	
10590	UPI0005ECEE3E	UPI0021487D71	
10591	UPI0011A31A0E	UPI0021487D71	
10592	UPI00203B19FA	UPI0021487D71	
10593	UPI000BF5E075	UPI0021487D71	
10594	UPI000BF5E670	UPI0021487D71	
10595	UPI00203B354A	UPI0021487D71	
10596	A0A2C5HIK1	UPI0021487D71	
10597	D5DD90	UPI0021487D71	
10598	UPI0001E893A6	UPI0021487D71	
10599	UPI000BFB6941	UPI0021487D71	
10600	UPI00101BAF36	UPI0021487D71	
10601	UPI001E3DB374	UPI0021487D71	
10602	UPI00034DBC1F	UPI0021487D71	
10603	UPI001C21B487	UPI0021487D71	
10604	UPI001C8E69A4	UPI0021487D71	
10605	UPI00209D180C	UPI0021487D71	
10606	UPI000470C990	UPI0021487D71	
10607	UPI000BF2A1E7	UPI0021487D71	
10608	UPI001EF51F08	UPI0021487D71	
10609	A0A0B6AR10	UPI0021487D71	
10610	UPI0020D07F8A	UPI0021487D71	
10611	UPI00196A33B4	UPI0021487D71	
10612	UPI001BE5527A	UPI0021487D71	
10613	UPI00203BB201	UPI0021487D71	
10614	A0A3D8X5S1	UPI0021487D71	
10615	A0A6M6DTU2	UPI0021487D71	
10616	UPI000BF52F3E	UPI0021487D71	
10617	UPI0018A29838	UPI0021487D71	
10618	UPI001EDAA1CB	UPI0021487D71	
10619	A0A8I1MIZ7	UPI0021487D71	
10620	UPI000E120D90	UPI0021487D71	
10621	UPI0015F65DE1	UPI0021487D71	
10622	UPI0015E814EA	UPI0021487D71	
10623	UPI0018742004	UPI0021487D71	
10624	UPI0013CEA4BC	UPI0021487D71	
10625	UPI0018CF8C21	UPI0021487D71	
10626	UPI00167FDF50	UPI0021487D71	
10627	I2HQ31	UPI0021487D71	
10628	UPI001C09AB79	UPI0021487D71	
10629	UPI0021F4BBBB	UPI0021487D71	
10630	UPI00137535AE	UPI0021487D71	
10631	UPI00141972AD	UPI0021487D71	
10632	UPI00145BC315	UPI0021487D71	
10633	UPI000B7D506A	UPI0021487D71	
10634	A0A1R1F3W8	UPI0021487D71	
10635	UPI001FD02783	UPI0021487D71	
10636	UPI0011AB63A1	UPI0021487D71	
10637	UPI0021F24B52	UPI0021487D71	
10638	UPI0011A2A3AD	UPI0021487D71	
10639	UPI00190BC533	UPI0021487D71	
10640	A0A259T0U2	UPI0021487D71	
10641	UPI00135BCC5E	UPI0021487D71	
10642	UPI002180194D	UPI0021487D71	
10643	UPI001FD2345B	UPI0021487D71	
10644	UPI00201D540D	UPI0021487D71	
10645	UPI000FDAF24A	UPI0021487D71	
10646	UPI0012675F4F	UPI0021487D71	
10647	UPI001CA9A15D	UPI0021487D71	
10648	UPI0013D789E8	UPI0021487D71	
10649	UPI00178261E6	UPI0021487D71	
10650	UPI00119F60BC	UPI0021487D71	
10651	UPI0011A73F52	UPI0021487D71	
10652	A0A2S8PNN1	UPI0021487D71	
10653	UPI00203FE605	UPI0021487D71	
10654	UPI00193FC50F	UPI0021487D71	
10655	UPI001BA89B96	UPI0021487D71	
10656	UPI00048F52D0	UPI0021487D71	
10657	A0A559K904	UPI0021487D71	
10658	UPI0009ABFA73	UPI0021487D71	
10659	A0A2A5IXA3	UPI0021487D71	
10660	A0A2G8ITK1	UPI0021487D71	
10661	UPI000D03ECA8	UPI0021487D71	
10662	UPI001CF94AD6	UPI0021487D71	
10663	A0A5K1PL82	UPI0021487D71	
10664	UPI0004040AC2	UPI0021487D71	
10665	UPI0022827674	UPI0021487D71	
10666	A0A4Y8LFQ2	UPI0021487D71	
10667	A0A7Y8V1D8	UPI0021487D71	
10668	UPI0013D28253	UPI0021487D71	
10669	UPI00069DAC80	UPI0021487D71	
10670	UPI00047A81EB	UPI0021487D71	
10671	UPI001AE06843	UPI0021487D71	
10672	UPI0008F94878	UPI0021487D71	
10673	UPI001C1F91B3	UPI0021487D71	
10674	UPI0013D4A575	UPI0021487D71	
10675	UPI00046E72E2	UPI0021487D71	
10676	UPI0020A16EDF	UPI0021487D71	
10677	UPI000248CCB2	UPI0021487D71	
10678	UPI000B592E13	UPI0021487D71	
10679	UPI0020B7D35B	UPI0021487D71	
10680	A0A5Q2NV20	UPI0021487D71	
10681	UPI000B31CAE6	UPI0021487D71	
10682	A0A6H2H2C2	UPI0021487D71	
10683	UPI000416863E	UPI0021487D71	
10684	UPI001960AB63	UPI0021487D71	
10685	UPI00203C1D52	UPI0021487D71	
10686	A0A1R0WAB8	UPI0021487D71	
10687	UPI002040B80D	UPI0021487D71	
10688	A0A163Y9C8	UPI0021487D71	
10689	UPI000FD625E3	UPI0021487D71	
10690	A0A2T6FTN4	UPI0021487D71	
10691	UPI0018DE6F27	UPI0021487D71	
10692	A0A1J6W5J1	UPI0021487D71	
10693	UPI001CD2D11C	UPI0021487D71	
10694	A0A6M1U6D2	UPI0021487D71	
10695	UPI00106E7923	UPI0021487D71	
10696	UPI00149122A9	UPI0021487D71	
10697	UPI00227F5A62	UPI0021487D71	
10698	A0A0Q9L8A9	UPI0021487D71	
10699	UPI001422B4EE	UPI0021487D71	
10700	UPI001492F851	UPI0021487D71	
10701	UPI001492FB79	UPI0021487D71	
10702	A0A7W0I625	UPI0021487D71	
10703	UPI001567A64E	UPI0021487D71	
10704	UPI000492CBF0	UPI0021487D71	
10705	A0A0Q7K889	UPI0021487D71	
10706	A0A1V4HL77	UPI0021487D71	
10707	UPI00071CDF8D	UPI0021487D71	
10708	UPI000FD666F0	UPI0021487D71	
10709	A0A6L8V8L8	UPI0021487D71	
10710	UPI001565A5A5	UPI0021487D71	
10711	UPI001D05A5C0	UPI0021487D71	
10712	UPI002282D4D5	UPI0021487D71	
10713	UPI0020CC293A	UPI0021487D71	
10714	UPI002243FC76	UPI0021487D71	
10715	UPI002281628C	UPI0021487D71	
10716	UPI001E5B8858	UPI0021487D71	
10717	A0A2I0QTB1	UPI0021487D71	
10718	UPI001F0F157E	UPI0021487D71	
10719	UPI0022808915	UPI0021487D71	
10720	UPI00227DC536	UPI0021487D71	
10721	UPI002282E249	UPI0021487D71	
10722	A0A976XTT1	UPI0021487D71	
10723	UPI001EFB243F	UPI0021487D71	
10724	UPI001CB9CF88	UPI0021487D71	
10725	UPI001D1707AE	UPI0021487D71	
10726	UPI0021BD0CDC	UPI0021487D71	
10727	UPI001F402B04	UPI0021487D71	
10728	UPI00228199E2	UPI0021487D71	
10729	UPI001E4DBF97	UPI0021487D71	
10730	UPI0022824228	UPI0021487D71	
10731	UPI002281A99A	UPI0021487D71	
10732	A0A6G7JDN8	UPI0021487D71	
10733	UPI001FBAD531	UPI0021487D71	
10734	UPI002281AF52	UPI0021487D71	
10735	UPI00228012E3	UPI0021487D71	
10736	UPI00227E181F	UPI0021487D71	
10737	UPI002280D4B5	UPI0021487D71	
10738	UPI001CC5023D	UPI0021487D71	
10739	UPI001F34447C	UPI0021487D71	
10740	UPI002281BFBC	UPI0021487D71	
10741	UPI00228260D9	UPI0021487D71	
10742	UPI001FB05695	UPI0021487D71	
10743	A0A1Y0YGN8	UPI0021487D71	
10744	UPI001F3E59BB	UPI0021487D71	
10745	UPI001EE429BC	UPI0021487D71	
10746	UPI001F0AAEA8	UPI0021487D71	
10747	UPI00227E31AD	UPI0021487D71	
10748	UPI0022810ABE	UPI0021487D71	
10749	UPI00208FC107	UPI0021487D71	
10750	UPI0020B1CF5B	UPI0021487D71	
10751	UPI0021BF45DD	UPI0021487D71	
10752	UPI00227F42D7	UPI0021487D71	
10753	UPI001E5B55CD	UPI0021487D71	
10754	UPI001F218EFC	UPI0021487D71	
10755	UPI00215967DD	UPI0021487D71	
10756	A0A4Z0GTZ0	UPI0021487D71	
10757	A0A4Q4IGN7	UPI0021487D71	
10758	UPI002096825A	UPI0021487D71	
10759	UPI002096EBF5	UPI0021487D71	
10760	UPI000C269F63	UPI0021487D71	
10761	UPI0021084F4A	UPI0021487D71	
10762	UPI0019604162	UPI0021487D71	
10763	F5L605	UPI0021487D71	
10764	UPI00166DE6B9	UPI0021487D71	
10765	A0A8X8IBB6	UPI0021487D71	
10766	A0A101WPH4	UPI0021487D71	
10767	A0A847N979	UPI0021487D71	
10768	A0A926KSD7	UPI0021487D71	
10769	A0A3M8D4K0	UPI0021487D71	
10770	UPI0009984CBB	UPI0021487D71	
10771	UPI0004BABFA3	UPI0021487D71	
10772	UPI0006848CBE	UPI0021487D71	
10773	A0A268BVT6	UPI0021487D71	
10774	UPI0015C389AE	UPI0021487D71	
10775	UPI000994BE9D	UPI0021487D71	
10776	UPI0020164AD5	UPI0021487D71	
10777	UPI001C2CAF16	UPI0021487D71	
10778	A0A268HI20	UPI0021487D71	
10779	UPI00211BC6ED	UPI0021487D71	
10780	UPI001FEDF796	UPI0021487D71	
10781	UPI0020C71940	UPI0021487D71	
10782	UPI0002B6F8C3	UPI0021487D71	
10783	A0A6A8DE73	UPI0021487D71	
10784	UPI001144E55A	UPI0021487D71	
10785	A0A2S5GA06	UPI0021487D71	
10786	UPI0020D0F120	UPI0021487D71	
10787	A0A268AEN9	UPI0021487D71	
10788	UPI001FE527B7	UPI0021487D71	
10789	UPI001CD7B5D1	UPI0021487D71	
10790	UPI001749FDC5	UPI0021487D71	
10791	A0A6I2M9L1	UPI0021487D71	
10792	UPI00174B25D7	UPI0021487D71	
10793	UPI001CBB34CB	UPI0021487D71	
10794	A0A2N5FL78	UPI0021487D71	
10795	UPI0020793C69	UPI0021487D71	
10796	UPI00163A3A51	UPI0021487D71	
10797	UPI002041034D	UPI0021487D71	
10798	UPI000AC3E117	UPI0021487D71	
10799	UPI0019665235	UPI0021487D71	
10800	UPI0021BAAD64	UPI0021BAAD64	
10801	UPI0015D61B4F	UPI0021BAAD64	
10802	UPI00209ABCFE	UPI0021BAAD64	
10803	UPI000B92792C	UPI0021BAAD64	
10804	UPI000CB80490	UPI0021BAAD64	
10805	UPI000CC0185C	UPI0021BAAD64	
10806	UPI000CC7C0EF	UPI0021BAAD64	
10807	UPI001928DFC1	UPI0021BAAD64	
10808	UPI001B45211F	UPI0021BAAD64	
10809	UPI00209B7F33	UPI0021BAAD64	
10810	UPI001004F758	UPI001004F758	
10811	UPI00068FB9AE	UPI001004F758	
10812	UPI001407BA0D	UPI001407BA0D	
10813	UPI001F26C526	UPI001407BA0D	
10814	UPI00140A4071	UPI001407BA0D	
10815	UPI00124D93C0	UPI001407BA0D	
10816	UPI0010325F83	UPI001407BA0D	
10817	UPI0015804724	UPI001407BA0D	
10818	UPI0015D1A736	UPI001407BA0D	
10819	UPI001C48F450	UPI001407BA0D	
10820	UPI0021C97DA3	UPI001407BA0D	
10821	UPI0008108EE5	UPI001407BA0D	
10822	UPI00124DBE9F	UPI001407BA0D	
10823	UPI0015806839	UPI001407BA0D	
10824	UPI0015D1C98D	UPI001407BA0D	
10825	UPI00197FC4FC	UPI001407BA0D	
10826	UPI00034A41D8	UPI001407BA0D	
10827	UPI0015806A91	UPI001407BA0D	
10828	UPI001ABBF073	UPI001407BA0D	
10829	UPI0005CFC51A	UPI001407BA0D	
10830	UPI00125F9476	UPI001407BA0D	
10831	UPI0015D23002	UPI001407BA0D	
10832	UPI000C20D450	UPI001407BA0D	
10833	UPI00124ED09F	UPI001407BA0D	
10834	UPI001580CD82	UPI001407BA0D	
10835	UPI0015D26027	UPI001407BA0D	
10836	UPI000FD8AD83	UPI001407BA0D	
10837	UPI001039A3FA	UPI001407BA0D	
10838	UPI00124F1947	UPI001407BA0D	
10839	UPI001580D1DD	UPI001407BA0D	
10840	UPI001C0DF60B	UPI001407BA0D	
10841	UPI00148C06DB	UPI001407BA0D	
10842	UPI001581169C	UPI001407BA0D	
10843	UPI00178C9849	UPI001407BA0D	
10844	UPI0021D0C788	UPI001407BA0D	
10845	UPI0004462197	UPI001407BA0D	
10846	UPI00124F8AFE	UPI001407BA0D	
10847	UPI0015812566	UPI001407BA0D	
10848	UPI0021CA9277	UPI001407BA0D	
10849	UPI00148C6752	UPI001407BA0D	
10850	UPI00177CDB0D	UPI001407BA0D	
10851	UPI00178CE0A8	UPI001407BA0D	
10852	UPI001F1F2CC5	UPI001407BA0D	
10853	UPI00201CE1D8	UPI001407BA0D	
10854	UPI00044779A2	UPI001407BA0D	
10855	UPI000785FCE5	UPI001407BA0D	
10856	UPI000D33F96A	UPI001407BA0D	
10857	UPI000DD0277D	UPI001407BA0D	
10858	UPI0015D2EE2D	UPI001407BA0D	
10859	UPI00192B175F	UPI001407BA0D	
10860	UPI000DD03ECF	UPI001407BA0D	
10861	UPI00124FCE77	UPI001407BA0D	
10862	UPI00148CC533	UPI001407BA0D	
10863	UPI0015D30049	UPI001407BA0D	
10864	UPI000847F645	UPI001407BA0D	
10865	UPI0013D0609B	UPI001407BA0D	
10866	UPI00148CC7E9	UPI001407BA0D	
10867	UPI0015D31242	UPI001407BA0D	
10868	UPI00070E65BF	UPI001407BA0D	
10869	UPI000DD06E23	UPI001407BA0D	
10870	UPI0012F926EA	UPI001407BA0D	
10871	UPI001D09F63D	UPI001407BA0D	
10872	UPI00124FE899	UPI001407BA0D	
10873	UPI001F3E05CD	UPI001407BA0D	
10874	UPI001F622E73	UPI001407BA0D	
10875	UPI0003B2A118	UPI001407BA0D	
10876	UPI000DD0A09B	UPI001407BA0D	
10877	UPI001294DAE9	UPI001407BA0D	
10878	UPI00190C2DA3	UPI001407BA0D	
10879	UPI000318AAAC	UPI001407BA0D	
10880	UPI00083F8D6C	UPI001407BA0D	
10881	UPI0012502CF7	UPI001407BA0D	
10882	UPI00137A20F7	UPI001407BA0D	
10883	UPI001EFE4FA6	UPI001407BA0D	
10884	UPI00044B3E99	UPI001407BA0D	
10885	UPI0015D381F0	UPI001407BA0D	
10886	UPI00192BFEEC	UPI001407BA0D	
10887	UPI001EFE966C	UPI001407BA0D	
10888	UPI001F60314F	UPI001407BA0D	
10889	UPI0002CE971A	UPI001407BA0D	
10890	UPI000DB6F965	UPI001407BA0D	
10891	UPI0018FF9C3C	UPI001407BA0D	
10892	UPI001EDC897A	UPI001407BA0D	
10893	UPI001F455089	UPI001407BA0D	
10894	UPI001FD70612	UPI001407BA0D	
10895	UPI0002D13DC6	UPI001407BA0D	
10896	UPI000D01F655	UPI001407BA0D	
10897	UPI00105CEDFC	UPI001407BA0D	
10898	UPI001250904B	UPI001407BA0D	
10899	UPI0015D3B8B2	UPI001407BA0D	
10900	UPI0015D4014B	UPI001407BA0D	
10901	UPI00197DCB00	UPI001407BA0D	
10902	UPI00062005F9	UPI001407BA0D	
10903	UPI001CD33423	UPI001407BA0D	
10904	UPI00044D3BBB	UPI001407BA0D	
10905	UPI000E9B1106	UPI001407BA0D	
10906	UPI00143C3E32	UPI001407BA0D	
10907	UPI00148F106B	UPI001407BA0D	
10908	UPI0019007FE9	UPI001407BA0D	
10909	UPI00197DE901	UPI001407BA0D	
10910	UPI0021CD320C	UPI001407BA0D	
10911	UPI000469A8C0	UPI001407BA0D	
10912	UPI001023932A	UPI001407BA0D	
10913	UPI00124C4CB5	UPI001407BA0D	
10914	UPI00148F15F0	UPI001407BA0D	
10915	UPI00208F5A8A	UPI001407BA0D	
10916	UPI0021CD4D9B	UPI001407BA0D	
10917	UPI0021E25ED4	UPI001407BA0D	
10918	UPI00031BED48	UPI001407BA0D	
10919	UPI0004612D5A	UPI001407BA0D	
10920	UPI000A37D0BF	UPI001407BA0D	
10921	UPI00124C5D98	UPI001407BA0D	
10922	UPI00148F31DD	UPI001407BA0D	
10923	UPI0015D43A5B	UPI001407BA0D	
10924	UPI001900D639	UPI001407BA0D	
10925	UPI0021CD576F	UPI001407BA0D	
10926	UPI0021D2FBCA	UPI001407BA0D	
10927	UPI0002AEAD50	UPI001407BA0D	
10928	UPI000DE75B34	UPI001407BA0D	
10929	UPI001023BE53	UPI001407BA0D	
10930	UPI0011A18C9C	UPI001407BA0D	
10931	UPI0015D43DA3	UPI001407BA0D	
10932	UPI001C4EB550	UPI001407BA0D	
10933	UPI0020793AE5	UPI001407BA0D	
10934	UPI0021F6BB29	UPI001407BA0D	
10935	UPI00057CAEFD	UPI001407BA0D	
10936	UPI00103F24D2	UPI001407BA0D	
10937	UPI0015D44598	UPI001407BA0D	
10938	UPI00196A701A	UPI001407BA0D	
10939	UPI0021CDA3FD	UPI001407BA0D	
10940	UPI001244CFA5	UPI001407BA0D	
10941	UPI00124C700E	UPI001407BA0D	
10942	UPI0019026E3E	UPI001407BA0D	
10943	UPI0021CDADFA	UPI001407BA0D	
10944	UPI0005C86EF3	UPI001407BA0D	
10945	UPI000D0BA8EC	UPI001407BA0D	
10946	UPI00124CE0FA	UPI001407BA0D	
10947	UPI0015D466DE	UPI001407BA0D	
10948	UPI00195D953A	UPI001407BA0D	
10949	UPI0019673EEC	UPI001407BA0D	
10950	UPI001C0AE263	UPI001407BA0D	
10951	UPI0021CDB9AC	UPI001407BA0D	
10952	UPI0021E5D648	UPI001407BA0D	
10953	UPI0009941024	UPI001407BA0D	
10954	UPI0014904FD9	UPI001407BA0D	
10955	UPI00157FC53C	UPI001407BA0D	
10956	UPI0015D15075	UPI001407BA0D	
10957	UPI00197EE576	UPI001407BA0D	
10958	UPI001C224786	UPI001407BA0D	
10959	UPI001F188D13	UPI001407BA0D	
10960	UPI001F1B5B40	UPI001407BA0D	
10961	UPI0021CDC09E	UPI001407BA0D	
10962	UPI00028CB6D3	UPI001407BA0D	
10963	UPI0005F86B92	UPI001407BA0D	
10964	UPI00128BE6DD	UPI001407BA0D	
10965	UPI001CD3FCDF	UPI001407BA0D	
10966	UPI001EE56852	UPI001407BA0D	
10967	UPI001F4FF394	UPI001407BA0D	
10968	UPI0021CDFAAE	UPI001407BA0D	
10969	UPI00168B410D	UPI001407BA0D	
10970	UPI0002D6C6FE	UPI001407BA0D	
10971	UPI0009AF179E	UPI001407BA0D	
10972	UPI00132A31A5	UPI001407BA0D	
10973	UPI0015D19690	UPI001407BA0D	
10974	UPI00190A2F90	UPI001407BA0D	
10975	UPI001ADC30EC	UPI001407BA0D	
10976	UPI002169343B	UPI001407BA0D	
10977	UPI0021B71766	UPI001407BA0D	
10978	UPI001FF0F4FD	UPI001407BA0D	
10979	UPI0015D21191	UPI001407BA0D	
10980	UPI002245E74C	UPI001407BA0D	
10981	UPI0004C3FBF7	UPI001407BA0D	
10982	UPI000F68AEAA	UPI001407BA0D	
10983	UPI001CB7F9C0	UPI001407BA0D	
10984	UPI00054CB33E	UPI001407BA0D	
10985	UPI0011952DC6	UPI001407BA0D	
10986	UPI000C3375C5	UPI001407BA0D	
10987	UPI001443C6DB	UPI001407BA0D	
10988	UPI0015D2B674	UPI001407BA0D	
10989	UPI0018A0BD07	UPI001407BA0D	
10990	UPI0015D2B7B0	UPI001407BA0D	
10991	UPI001EDBDF57	UPI001407BA0D	
10992	UPI001FB56834	UPI001407BA0D	
10993	UPI0015D33069	UPI001407BA0D	
10994	UPI00209ADDE5	UPI001407BA0D	
10995	UPI0021CF5CC8	UPI001407BA0D	
10996	UPI0015D38A36	UPI001407BA0D	
10997	UPI001BB491AA	UPI001407BA0D	
10998	UPI00135C6509	UPI001407BA0D	
10999	UPI00209B02EE	UPI001407BA0D	
11000	UPI0015D4119E	UPI001407BA0D	
11001	UPI0015D416F1	UPI001407BA0D	
11002	UPI000F088AED	UPI001407BA0D	
11003	UPI0020977FAE	UPI001407BA0D	
11004	UPI00209B2448	UPI001407BA0D	
11005	UPI0009A39FF0	UPI001407BA0D	
11006	UPI00209B3AB8	UPI001407BA0D	
11007	UPI0015D1041A	UPI001407BA0D	
11008	UPI0007443B9A	UPI001407BA0D	
11009	UPI0015D11231	UPI001407BA0D	
11010	UPI001C23E039	UPI001407BA0D	
11011	UPI00200A2280	UPI001407BA0D	
11012	UPI0015D12003	UPI001407BA0D	
11013	UPI0015D1384A	UPI001407BA0D	
11014	UPI0012985E98	UPI001407BA0D	
11015	UPI002003EC63	UPI001407BA0D	
11016	UPI001C48690D	UPI001407BA0D	
11017	UPI0001BBAB8C	UPI001407BA0D	
11018	UPI001FD1A7E3	UPI001407BA0D	
11019	UPI00144390BC	UPI001407BA0D	
11020	UPI001CE172FC	UPI001407BA0D	
11021	UPI001F438593	UPI001407BA0D	
11022	UPI001F4AD663	UPI001407BA0D	
11023	UPI001F4ADD92	UPI001407BA0D	
11024	UPI001247931B	UPI001407BA0D	
11025	UPI00128E2D02	UPI001407BA0D	
11026	UPI0015D27BF0	UPI001407BA0D	
11027	UPI001F4B38EF	UPI001407BA0D	
11028	UPI0020306A97	UPI001407BA0D	
11029	UPI000CE3D674	UPI001407BA0D	
11030	UPI001443F3B2	UPI001407BA0D	
11031	UPI000C2BAEE9	UPI001407BA0D	
11032	UPI001444208D	UPI001407BA0D	
11033	UPI00144483DF	UPI001407BA0D	
11034	UPI00044865B6	UPI001407BA0D	
11035	UPI000806896E	UPI001407BA0D	
11036	UPI0018FF1B93	UPI001407BA0D	
11037	UPI002148BD1E	UPI001407BA0D	
11038	UPI0015D37322	UPI001407BA0D	
11039	UPI00192BAD89	UPI001407BA0D	
11040	UPI001F4BBFBC	UPI001407BA0D	
11041	UPI0020C9FB03	UPI001407BA0D	
11042	UPI00051B52ED	UPI001407BA0D	
11043	UPI001FB3CFFD	UPI001407BA0D	
11044	UPI0007784AC5	UPI001407BA0D	
11045	UPI001F606A68	UPI001407BA0D	
11046	UPI0013D18466	UPI001407BA0D	
11047	UPI00143BD383	UPI001407BA0D	
11048	UPI00145F8A63	UPI001407BA0D	
11049	UPI001F4A263D	UPI001407BA0D	
11050	UPI00056F67D9	UPI001407BA0D	
11051	UPI001F4A2945	UPI001407BA0D	
11052	UPI00144686AC	UPI001407BA0D	
11053	UPI001F3A955E	UPI001407BA0D	
11054	UPI0015D0DE76	UPI001407BA0D	
11055	UPI0015D41BA3	UPI001407BA0D	
11056	UPI001F4A4940	UPI001407BA0D	
11057	UPI0014249F09	UPI001407BA0D	
11058	UPI00209B5B32	UPI001407BA0D	
11059	UPI0021CFDBC4	UPI001407BA0D	
11060	UPI000CEB84E7	UPI001407BA0D	
11061	UPI001490265D	UPI001407BA0D	
11062	UPI001F4A732C	UPI001407BA0D	
11063	UPI00201A510D	UPI001407BA0D	
11064	UPI001490698E	UPI001407BA0D	
11065	UPI001B760689	UPI001407BA0D	
11066	UPI001F4A9423	UPI001407BA0D	
11067	UPI00215F6D60	UPI001407BA0D	
11068	UPI001489380F	UPI001407BA0D	
11069	UPI000810AB4B	UPI001407BA0D	
11070	UPI0002BB1CBB	UPI001407BA0D	
11071	UPI0004539C1E	UPI001407BA0D	
11072	UPI000A33CDEC	UPI001407BA0D	
11073	UPI00140A7F24	UPI001407BA0D	
11074	UPI0003D28236	UPI001407BA0D	
11075	UPI0002885228	UPI001407BA0D	
11076	UPI001D58FF29	UPI001407BA0D	
11077	UPI001CDCDDD3	UPI001407BA0D	
11078	UPI00202369BF	UPI001407BA0D	
11079	UPI001D184357	UPI001407BA0D	
11080	UPI00125DA01E	UPI001407BA0D	
11081	UPI000A330938	UPI001407BA0D	
11082	UPI000D64AD2F	UPI001407BA0D	
11083	UPI00141319F9	UPI00141319F9	
11084	UPI00101D0CF4	UPI00141319F9	
11085	UPI0004B4171F	UPI00141319F9	
11086	UPI00035DA943	UPI00141319F9	
11087	UPI000D3DC78B	UPI00141319F9	
11088	UPI000F772777	UPI00141319F9	
11089	UPI0020A2A7C3	UPI00141319F9	
11090	UPI001411C40D	UPI00141319F9	
11091	UPI0021AC07D1	UPI00141319F9	
11092	UPI001CE18B79	UPI00141319F9	
11093	A0A2S5VXP6	UPI00141319F9	
11094	UPI00188B4AB9	UPI00141319F9	
11095	UPI00226B0818	UPI00141319F9	
11096	UPI0021C0D762	UPI00141319F9	
11097	UPI001365439A	UPI00141319F9	
11098	UPI001F254B49	UPI00141319F9	
11099	A0A944KQ33	UPI00141319F9	
11100	UPI00226B97BA	UPI00141319F9	
11101	A0A0Q5RSZ0	UPI00141319F9	
11102	UPI001F311DEB	UPI00141319F9	
11103	UPI00227646F9	UPI00141319F9	
11104	A0A2W1Q7M2	UPI00141319F9	
11105	UPI00217CC9DE	UPI00141319F9	
11106	A0A2W1VK96	UPI00141319F9	
11107	A0A1S2H2M3	UPI00141319F9	
11108	A0A1S2H7Z7	UPI00141319F9	
11109	UPI0011A75C46	UPI00141319F9	
11110	C5BUU0	UPI00141319F9	
11111	UPI0003208D96	UPI00141319F9	
11112	A0A2T8F7X1	UPI00141319F9	
11113	UPI001BA733D8	UPI00141319F9	
11114	A0A2E6KJW3	A0A2E6KJW3	A0A7C1D5R2
11115	A0A2H0XY46	A0A2H0XY46	A0A7C1D5R2
11116	A0A7X6NQR9	A0A2H0XY46	A0A7C1D5R2
11117	A0A7V0S3H4	A0A2H0XY46	A0A7C1D5R2
11118	A0A947KJQ5	A0A2H0XY46	A0A7C1D5R2
11119	A0A660XU37	A0A2H0XY46	A0A7C1D5R2
11120	A0A3D2WYE0	A0A2H0XY46	A0A7C1D5R2
11121	A0A660XRB2	A0A2H0XY46	A0A7C1D5R2
11122	A0A940I5N7	A0A2H0XY46	A0A7C1D5R2
11123	A0A660XBU7	A0A2H0XY46	A0A7C1D5R2
11124	A0A2H6HVI8	A0A2H6HVI8	A0A2H6HVI8
11125	A0A2K2VTZ0	A0A2K2VTZ0	A0A7C0UC19
11126	A0A661JAQ8	A0A2K2VTZ0	A0A7C0UC19
11127	A0A929EVQ6	A0A2K2VTZ0	A0A7C0UC19
11128	A0A2N5ZHM0	A0A2N5ZHM0	A0A7C0UC19
11129	A0A2V2DAW9	A0A2V2DAW9	A0A7C1D5R2
11130	A0A2V5TI54	A0A2V5TI54	A0A1I1P0F7
11131	A0A344UJ16	A0A344UJ16	A0A7C1D5R2
11132	UPI0009DA3312	A0A344UJ16	A0A7C1D5R2
11133	UPI001E5965F2	A0A344UJ16	A0A7C1D5R2
11134	A0A2H5E1A6	A0A344UJ16	A0A7C1D5R2
11135	UPI001E4EE4FA	A0A344UJ16	A0A7C1D5R2
11136	UPI001E302726	A0A344UJ16	A0A7C1D5R2
11137	A0A1D9LIH2	A0A344UJ16	A0A7C1D5R2
11138	UPI0005D3A376	A0A344UJ16	A0A7C1D5R2
11139	A0A5C1DKA3	A0A344UJ16	A0A7C1D5R2
11140	UPI001BE5CC67	A0A344UJ16	A0A7C1D5R2
11141	UPI00064105B5	A0A344UJ16	A0A7C1D5R2
11142	A0A2R2IVN0	A0A344UJ16	A0A7C1D5R2
11143	UPI0006413813	A0A344UJ16	A0A7C1D5R2
11144	A0A2L2B735	A0A344UJ16	A0A7C1D5R2
11145	UPI00064147D0	A0A344UJ16	A0A7C1D5R2
11146	A0A8I1Z3T9	A0A344UJ16	A0A7C1D5R2
11147	UPI000E206AB9	A0A344UJ16	A0A7C1D5R2
11148	UPI000617CF48	A0A344UJ16	A0A7C1D5R2
11149	UPI001C8C541C	A0A344UJ16	A0A7C1D5R2
11150	UPI000617DEF9	A0A344UJ16	A0A7C1D5R2
11151	UPI001E4769BA	A0A344UJ16	A0A7C1D5R2
11152	A0A2S5DKG9	A0A344UJ16	A0A7C1D5R2
11153	UPI0009F03405	A0A344UJ16	A0A7C1D5R2
11154	UPI0011C9C654	A0A344UJ16	A0A7C1D5R2
11155	UPI001D0AE7BF	A0A344UJ16	A0A7C1D5R2
